BEA									
DEPARTEMENT FINANCE ET COMPTABILITE									
									
TABLEAU D'AMORTISSEMENT AAI									
		30/06/2026							
COMPTE N°: 142010  Compte Amort: 148211									
			Valeur		 AmtCumulés	Dotation	Montant Amt	Valeur Net	AGENCE 
Date 	Qté	Désignation	d'Acquisition MRU	Taux	 Fin Exr.2025	Exer. En. C	Fin Exercice 2026	Comptable	
29/08/19	20	Bouteilles Incendies	 24 000,00   	10%	 15 200   	 1 200,00   	 16 400,00   	 7 600,00   	
11/09/19	3	Climatiseurs LG 12 000 BTU	 57 000,00   	10%	 36 100   	 2 850,00   	 38 950,00   	 18 050,00   	
17/09/19	1	Installation de GAB	 96 000,00   	10%	 60 000   	 4 800,00   	 64 800,00   	 31 200,00   	
19/09/19	2	Climatiseurs  West pool 2 Chevaux	 46 000,00   	10%	 28 750   	 2 300,00   	 31 050,00   	 14 950,00   	
29/10/19	2	Climatiseurs  Air WELL 24 000 BTU + Cuisinière	 63 500,00   	10%	 39 158   	 3 175,00   	 42 333,33   	 21 166,67   	
30/10/19	2	Climatiseurs  Air WELL + Climatiseur Beko  12000 btu	 39 000,00   	10%	 24 050   	 1 950,00   	 26 000,00   	 13 000,00   	
31/12/19		Solde au 31/12/2019	 24 881 694,00   	10%	 21 435 705,17   	 457 077,52   	 21 892 782,68   	 2 988 911,32   	
									
									
									
									
									
01/01/20120		Report 31/12/2019	 24 881 694,00   	10%	 21 435 705,17   	 457 077,52   	 21 892 782,68   	 2 988 911,32   	
09/01/20	2	GAB Multifonction génération Outdoor Dielbold 	-1 129 260,00   	10%	-56 463   	 -     	-56 463,00   	-1 072 797,00   	
05/02/20	1	Ecotellier Lobby ATM toutes option	 475 000,00   	10%	 281 042   	 23 750,00   	 304 791,67   	 170 208,33   	
17/02/20	1	Installation de Groupe éléctrogènes	 92 500,00   	10%	 53 958   	 4 625,00   	 58 583,33   	 33 916,67   	
02/03/20	1	Stabilisateur  30KVA0380 V	 84 400,00   	10%	 49 233   	 4 220,00   	 53 453,33   	 30 946,67   	
09/03/20	1	Stabilisateur  30KVA0380 V	 84 600,00   	10%	 49 350   	 4 230,00   	 53 580,00   	 31 020,00   	
10/03/20	1	Disjoncteur 	 3 500,00   	10%	 2 042   	 175,00   	 2 216,67   	 1 283,33   	
31/03/20	4	Groupe Electrogènes 15 KVA	 1 316 000,00   	10%	 756 700   	 65 800,00   	 822 500,00   	 493 500,00   	
10/04/20	1	Capteuse trieuse de billets SC820	 121 000,00   	10%	 69 575   	 6 050,00   	 75 625,00   	 45 375,00   	
13/04/20	1	Onduleur	 35 000,00   	10%	 20 125   	 1 750,00   	 21 875,00   	 13 125,00   	
18/05/10	4	Climatiseur Split 18000 btu	 27 000,00   	10%	 15 300   	 1 350,00   	 16 650,00   	 10 350,00   	
20/05/20	1	Installation PBE - 5 AC 400	 177 300,00   	10%	 100 470   	 8 865,00   	 109 335,00   	 67 965,00   	
27/05/20	2	Climatiseurs Air  1,5 Chevaux	 60 000,00   	10%	 33 000   	 3 000,00   	 36 000,00   	 24 000,00   	
29/05/20	1	Onduleur APC 650 VA	 24 000,00   	10%	 13 400   	 1 200,00   	 14 600,00   	 9 400,00   	
06/08/20	1	Ecran téléviseur surveillance	 6 800,00   	10%	 3 683   	 340,00   	 4 023,33   	 2 776,67   	
